Iteration,ExecutionTime(ms),ActualPeriod(ms),Jitter(ms)
592,0.986195,1.00081,0.000806
593,0.984621,0.99951,-0.00049
594,0.985122,0.999844,-0.000156
595,0.986825,1.00173,0.001732
596,0.987399,1.00464,0.004639
597,0.980436,0.995695,-0.004305
598,0.984677,0.999399,-0.000601
599,0.98501,0.999806,-0.000194
600,0.98788,1.00249,0.002491
601,0.981343,0.996325,-0.003675
602,0.984713,0.999306,-0.000694
603,0.98814,1.0029,0.002899
604,0.987269,1.00236,0.002362
605,0.978325,0.992991,-0.007009
606,0.984732,0.999195,-0.000805
607,0.985398,0.999806,-0.000194
608,0.991825,1.00634,0.006344
609,0.983677,0.999695,-0.000305
610,0.984418,0.999158,-0.000842
611,0.984177,0.999028,-0.000972
612,0.987917,1.00277,0.002769
613,0.983732,0.998769,-0.001231
614,0.983121,0.998714,-0.001286
615,0.985029,1.00005,4.7e-05
616,0.987269,1.00264,0.002639
617,0.982917,0.997695,-0.002305
618,0.985158,1.00001,1e-05
619,0.982084,0.997658,-0.002342
620,0.988324,1.00284,0.002843
621,0.980455,0.995566,-0.004434
622,0.984936,0.999288,-0.000712
623,0.98514,0.999732,-0.000268
624,0.988787,1.00325,0.00325
625,0.985103,1.00138,0.001381
626,0.984029,0.998954,-0.001046
627,0.984899,0.999695,-0.000305
628,0.988047,1.00279,0.002788
629,0.983028,0.997639,-0.002361
630,0.985084,0.999621,-0.000379
631,0.984973,0.999862,-0.000138
632,0.987621,1.00227,0.002269
633,0.983454,0.998028,-0.001972
634,0.985159,0.999844,-0.000156
635,0.985473,1.00001,9e-06
636,0.986806,1.00257,0.002566
637,0.983122,0.997936,-0.002064
638,0.983029,0.997621,-0.002379
639,0.987418,1.00173,0.001732
640,0.988195,1.00281,0.002806
641,0.983418,0.998288,-0.001712
642,0.984232,0.999046,-0.000954
643,0.985473,1.00003,2.9e-05
644,0.987584,1.00216,0.002158
645,0.983603,0.998621,-0.001379
646,0.983602,0.999176,-0.000824
647,0.985344,0.999992,-8e-06
648,0.986899,1.00206,0.002065
649,0.983565,0.998232,-0.001768
650,0.985862,1.00055,0.000547
651,0.984417,0.999121,-0.000879
652,0.986528,1.00123,0.001232
653,0.984047,0.999158,-0.000842
654,0.985029,0.999751,-0.000249
655,0.985491,0.99988,-0.00012
656,0.983399,0.99814,-0.00186
657,0.98701,1.00194,0.001935
658,0.985176,0.999899,-0.000101
659,0.98527,1.00003,2.9e-05
660,0.98538,1.00001,9e-06
661,0.98388,0.999362,-0.000638
662,0.984714,0.999473,-0.000527
663,1.02653,1.04101,0.04101
664,0.941028,0.989435,-0.010565
665,0.947658,0.978714,-0.021286
666,0.990899,1.0126,0.012603
667,0.943011,0.987084,-0.012916
668,0.980603,0.996917,-0.003083
669,0.982214,0.997399,-0.002601
670,0.984751,0.999602,-0.000398
671,0.984362,0.999677,-0.000323
672,0.986732,1.0016,0.001602
673,0.981584,0.996751,-0.003249
674,0.990399,1.00464,0.004639
675,0.970362,1.00621,0.006214
676,0.97527,0.999621,-0.000379
677,0.98227,1.00308,0.003084
678,0.985121,1.00708,0.007084
679,0.963825,1.00755,0.007546
680,0.963529,0.992307,-0.007693
681,0.966547,0.98325,-0.01675
682,0.983325,0.99877,-0.00123
683,0.98427,0.999584,-0.000416
684,0.987455,1.00242,0.002417
685,0.983065,0.997954,-0.002046
686,0.98464,0.999325,-0.000675
687,0.984861,0.999713,-0.000287
688,0.987973,1.00284,0.002844
689,0.98288,0.997528,-0.002472
690,0.985065,0.999658,-0.000342
691,0.983713,0.998454,-0.001546
692,0.988417,1.0029,0.002899
693,0.984695,0.999751,-0.000249
694,0.999084,1.01371,0.013713
695,1.49949,1.52678,0.526783
696,0.453033,0.487496,-0.512504
697,0.955602,0.973306,-0.026694
698,0.97764,0.994029,-0.005971
699,0.983825,0.999047,-0.000953
